Entity,Code,Year,Electricity from coal - TWh,Electricity from gas - TWh,Electricity from nuclear - TWh,Electricity from hydro - TWh,Electricity from solar - TWh,Electricity from oil - TWh,Electricity from wind - TWh,Electricity from bioenergy - TWh,Other renewables excluding bioenergy - TWh
Germany,DEU,1965,,,0.117,16.21221,0,,0,,
Germany,DEU,1966,,,0.265,17.533998,0,,0,,
Germany,DEU,1967,,,1.225,16.652311,0,,0,,
Germany,DEU,1968,,,1.766,16.89899,0,,0,,
Germany,DEU,1969,,,4.937,13.713478,0,,0,,
Germany,DEU,1970,,,6.494,17.533678,0,,0,,
Germany,DEU,1971,,,6.216,13.455188,0,,0,,
Germany,DEU,1972,,,9.522,13.205894,0,,0,,
Germany,DEU,1973,,,12.106,15.229462,0,,0,,
Germany,DEU,1974,,,14.459,17.638132,0,,0,,
Germany,DEU,1975,,,24.138,17.059124,0,,0,,
Germany,DEU,1976,,,29.533,13.846833,0,,0,,
Germany,DEU,1977,,,41.255,17.58216,0,,0,,
Germany,DEU,1978,,,43.873,18.362234,0,,0,,
Germany,DEU,1979,,,52.064,18.383686,0,,0,,
Germany,DEU,1980,,,55.589,19.069143,0,,0,,
Germany,DEU,1981,,,65.533,19.914673,0,,0,,
Germany,DEU,1982,,,74.426,19.737993,0,,0,,
Germany,DEU,1983,,,78.063,18.712017,0,,0,,
Germany,DEU,1984,,,104.317,18.479174,0,,0,,
Germany,DEU,1985,312.88,27.985,138.641,17.40065,0,9.595,0,,
Germany,DEU,1986,315.312,29.811,130.489,18.571981,0,13.643,0.001,,
Germany,DEU,1987,308.479,32.956,141.725,20.34297,0,13.811,0.002,,
Germany,DEU,1988,310.385,33.141,156.82,20.079391,0,11.794,0.008,,
Germany,DEU,1989,313.104,38.575,161.671,18.243729,0,10.437,0.026,,
Germany,DEU,1990,310.04,35.9,152.47,17.43,0,24.75,0.07,1.6,0
Germany,DEU,1991,307.67,36.3,147.23,14.89,0,27.84,0.22,1.87,0
Germany,DEU,1992,295.67,33,158.8,17.4,0,26.57,0.29,2.04,0
Germany,DEU,1993,293.25,32.8,153.28,17.88,0,20.87,0.67,1.97,0
Germany,DEU,1994,290.29,36.1,150.7,19.93,0,20.53,1.43,2.07,0
Germany,DEU,1995,289.14,41.1,153.09,21.78,0,21.47,1.71,2.43,0
Germany,DEU,1996,295.99,45.56,160.02,21.96,0.01,20.11,2.08,2.5,0
Germany,DEU,1997,284.34,48.1,170.33,17.36,0.01,20.55,3.03,2.65,0
Germany,DEU,1998,292.26,50.74,161.64,17.22,0.01,19.74,4.59,3.06,0
Germany,DEU,1999,281.27,51.8,170,19.65,0.02,17.49,5.53,3.51,0
Germany,DEU,2000,296.68,49.2,169.61,21.73,0,18.05,9.35,4.33,0
Germany,DEU,2001,293.74,55.5,171.3,22.73,0.1,20.52,10.46,4.59,0
Germany,DEU,2002,299.6,56.3,164.84,23.12,0.2,18.53,15.86,5.31,0
Germany,DEU,2003,304.63,62.59,165.06,18.32,0.31,23.08,19.09,8.95,0
Germany,DEU,2004,298.77,62.67,167.07,20.75,0.56,23.12,26.02,10.64,0
Germany,DEU,2005,288.14,72.19,163.05,19.64,1.31,26.53,27.77,14.71,0
Germany,DEU,2006,288.93,74.73,167.27,20.03,2.27,26.71,31.32,18.94,0
Germany,DEU,2007,297.1,77.45,140.53,21.17,3.14,26.58,40.51,24.62,0
Germany,DEU,2008,275.21,88.48,148.49,20.44,4.51,25.74,41.38,28.02,0.02
Germany,DEU,2009,253.45,80.27,134.93,19.03,6.72,23.23,39.42,30.89,0.02
Germany,DEU,2010,262.89,88.76,140.56,20.95,11.96,26.59,38.55,33.92,0.03
Germany,DEU,2011,262.46,85.67,107.97,17.67,19.99,24.47,49.86,36.89,0.02
Germany,DEU,2012,276.23,75.95,99.46,21.75,26.74,24.77,51.68,43.2,0.03
Germany,DEU,2013,288.2,67,97.29,23,30.62,25.25,52.74,45.51,0.08
Germany,DEU,2014,274.41,60.61,97.13,19.59,35.45,24.67,58.5,48.29,0.1
Germany,DEU,2015,272.2,61.47,91.79,18.98,38.08,25.57,80.62,50.33,0.13
Germany,DEU,2016,261.75,80.62,84.63,20.55,37.56,25.39,79.92,50.93,0.17
Germany,DEU,2017,241.26,86.04,76.32,20.15,38.76,25.16,105.69,50.92,0.16
Germany,DEU,2018,228.16,81.56,76,17.69,44.32,23.63,109.95,50.79,0.18
Germany,DEU,2019,171.45,90,75.07,19.73,45.22,22.4,125.89,50.13,0.2
Germany,DEU,2020,134.6,95,64.38,18.72,49.5,21.28,132.11,50.93,0.23
Germany,DEU,2021,164.65,90.31,69.13,19.66,49.34,22.24,114.16,49.1,0.24
Germany,DEU,2022,179.93,79.05,34.71,17.62,60.3,21.65,124.81,48.6,0.21
Germany,DEU,2023,124.97,77.73,7.22,19.89,61.22,22.09,137.48,45.91,0.19
Germany,DEU,2024,104.35,79.15,0,23.41,70.99,19.43,133.44,45.91,0.19